trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-179.74372508406094,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-123.0605558911007,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9733612415243368}",30,0,-283.4269412632189,"{0: 9, 1: 7, 2: 10, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-91.40859109665308,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-148.8326788207235,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9474321065017983}",30,0,-146.31320025957737,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-193.1025469996161,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9305308958112057}",20,0,-88.45884136821671,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-81.7161289506514,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-148.6271504102701,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9057427080235485}",25,0,-248.91173027872904,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.8976275964304349}",25,0,-94.11872973818711,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8895851931634113}",20,0,-71.44021887191636,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8816148467834161}",25,0,-85.76965865744874,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-85.98538517399174,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.865887748059205}",25,8,-42.78974752479894,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8581297218113938}",25,13,-56.89074580400281,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.850441204540233}",20,0,-161.9311119319409,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8428215734716199}",20,0,-57.2086391977992,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-197.99869092776532,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8277865066947336}",20,0,-59.220939021891354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8203698531378311}",25,0,-80.14629702782912,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.813019649987571}",20,0,-81.63613150975809,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8057353018734796}",25,0,-49.65681647910637,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7985162187593771}",30,0,-166.91958855384942,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.7913618158955839}",25,0,-121.70449066258733,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7842715137715565}",20,0,-52.53748352344577,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7772447380689461}",20,0,-77.52734444153,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7702809196150792}",25,11,-20.646180186605715,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7633794943368533}",20,0,-145.60674663458917,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7565399032150474}",20,16,4.840174243160653,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7497615922390413}",25,0,-116.87142472195845,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7430440123619398}",25,0,-108.98755412599448,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7363866194561001}",20,0,-26.734327905498898,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7297888742690568}",25,0,-98.75360128026826,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.7232502423798425}",20,3,-30.108994127657752,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.716770194155699}",25,0,-92.92928072173602,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.7103482047091773}",25,12,-25.297269050308014,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.703983753855621}",25,0,-112.77835957949628,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-69.58524919095242,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6914254104503085}",20,0,-97.5538614580612,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6852305006658703}",25,0,-81.60933710151822,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6790910949266369}",25,0,-105.16272254067641,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6730066959373865}",25,8,-60.347109498732166,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-23.306439836404735,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6610009512659125}",20,0,-54.82497745500267,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6550786331118063}",20,0,-16.585116957378244,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6492093766851474}",25,0,-73.68029384321854,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6433927065729562}",25,0,-40.49304211721558,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-29.937443264515615,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6319152448994959}",30,0,-128.90215286251362,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6262535236575559}",25,0,-64.52123309973827,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.6206425292934373}",35,0,-91.47601971331963,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.6150818073135287}",25,0,1.657621955618307,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.6095709072963094}",20,14,9.771453891353643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.6041093828558647}",20,0,-2.207637522550451,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5986967916057292}",25,0,-129.85310292327998,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.5933326951230521}",20,0,-48.6545953749061,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5880166589130854}",20,0,12.82833022217132,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5827482523739898}",25,0,-64.10689338439764,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5775270487619547}",30,0,-36.4046340301437,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5723526251566333}",25,2,-153.56830218563212,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 4}",1
63,False,"{'a': 0.5, 'e': 0.5672245624268841}",20,0,-70.33333153206868,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5621424451968224}",30,5,-71.68165601852436,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.5571058618121739}",20,0,-110.56472073956537,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5521144043069306}",20,0,-72.92990894886856,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5471676683703055}",30,10,8.068937831711782,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5422652533139832}",20,0,3.9912470003568536,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5374067620396636}",20,0,-84.7810051538241,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-72.88738629430583,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.5278199802012077}",30,3,-121.7436963855558,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.5230909131025009}",20,0,-101.2016648798956,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.518404216653756}",20,3,-62.119072991613834,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.5137595112299984}",20,2,-68.75565120838463,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,0,-84.20116031395378,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.5045945719335512}",35,2,-29.05391778658883,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.5000735956957677}",25,0,-8.360714319718577,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.49559312569265146}",25,7,-96.88713324363768,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
79,False,"{'a': 0.5, 'e': 0.49115279900368264}",20,14,-0.6939052117441,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,18,7.290599198200162,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4823911401151259}",25,19,6.148993598747947,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4780690982163776}",25,15,4.15197755489336,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4737857801759698}",20,0,2.852697203884602,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4695408390427993}",20,0,-132.30987607402895,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,14,-0.6029588991637085,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4611647152086585}",30,14,6.02930759528619,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.45703285403707794}",25,11,9.816345800218667,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.45293801277655776}",25,7,-14.56804530499712,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.448879859742717}",20,1,-56.649104929156955,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.44485806622294116}",20,0,-100.25921733693069,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.44087230644975617}",20,12,-36.474094325850594,"{0: 5, 1: 1, 2: 0, 3: 2, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4369222575744412}",30,6,4.153251242418112,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.43300759964087765}",25,9,13.776928036630494,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.42912801555963254}",20,6,-27.9157139867498,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,0,-65.80700593270352,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.42147281477591764}",20,0,-40.72670889555271,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.41769657799799886}",25,0,-9.757975584412879,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.4139541748712741}",20,5,8.64339308270399,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.41024530225904404}",25,15,6.1689143008964935,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,0,-89.65159106249733,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.4029269495868858}",30,0,-155.4818667712072,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
102,False,"{'a': 0.5, 'e': 0.3993168767363899}",20,2,23.083713854971986,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3957391487712367}",20,8,7.459161622727407,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.392193475893505}",20,15,9.282940340959215,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,0,5.635392529536727,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3851971491677552}",35,21,7.093731750989416,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3817459286134471}",25,15,3.4054126656967902,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3783256296880768}",20,9,6.770660465011353,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3749359753455614}",20,11,14.523939070141406,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
