trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.40880698058587,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,3,-178.52762060932173,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.68810074115781,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.73306976297219,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.23013201959677,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.45208722691157,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.3118339798404,"{0: 19, 1: 7, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.40181322149505,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.69718253487497,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.50157527376615,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.66339576849296,"{0: 7, 1: 5, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.13367184267167,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.24501803731746,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.8171662504386,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.77947469213312,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.773394374607681,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.33135871901175,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,8,-41.125782582877655,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.22712638452346,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.740277739183,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-79.3764686063119,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
